model,anonymized_train,anonymized_test,accuracy,precision,recall,f1_score,selected_features,feature_method,num_features,Scenario
KNN,True,True,0.958959824793544,0.9644586475640632,0.958959824793544,0.958644017730798,"[76, 77, 78]",chi2,3,"anonymized train
anonymized test"
KNN,True,False,0.998539988399824,0.9985434597042604,0.998539988399824,0.9985399846892,"[76, 78]",chi2,2,"not anonymized train
anonymized test"
KNN,False,True,0.9792700200956532,0.9800935728790958,0.9792700200956532,0.979260955113674,"[76, 77, 78]",chi2,3,"anonymized train
not anonymized test"
KNN,False,False,0.999990000199996,0.999990000799936,0.999990000199996,0.999990000199987,"[76, 77, 78]",chi2,3,"not anonymized train
not anonymized test"
Decision Tree,True,True,0.9164814525687708,0.9283443013243848,0.9164814525687708,0.914250469741929,"[76, 78]",chi2,2,"anonymized train
anonymized test"
Decision Tree,True,False,0.9201292039919858,0.9204137501706574,0.9201292039919858,0.920064054973726,"[3, 22, 27, 29, 30, 75, 76, 77, 78]",chi2,9,"not anonymized train
anonymized test"
Decision Tree,False,True,0.96486965139646,0.9693320294984704,0.96486965139646,0.9645808680451012,"[75, 76, 77, 78]",chi2,4,"anonymized train
not anonymized test"
Decision Tree,False,False,1.0,1.0,1.0,1.0,"[3, 27, 29, 30, 75, 76, 77, 78]",chi2,8,"not anonymized train
not anonymized test"
Random Forest,True,True,0.9280392830927768,0.9409013883915316,0.9280392830927768,0.9258301813972704,"[76, 78]",chi2,2,"anonymized train
anonymized test"
Random Forest,True,False,0.967379958793888,0.9683242835915576,0.967379958793888,0.9673540533633522,"[3, 22, 27, 29, 30, 75, 76, 77, 78]",chi2,9,"not anonymized train
anonymized test"
Random Forest,False,True,0.9348993516934628,0.9530981989882372,0.9348993516934628,0.9323392479223118,"[76, 78]",chi2,2,"anonymized train
not anonymized test"
Random Forest,False,False,1.0,1.0,1.0,1.0,"[3, 27, 29, 30, 75, 76, 77, 78]",chi2,8,"not anonymized train
not anonymized test"
GaussianNB,True,True,0.8480507802618075,0.8817864137663838,0.8480507802618075,0.8425068039769349,"[27, 29, 30, 75, 76, 77, 78]",chi2,7,"anonymized train
anonymized test"
