model,anonymized_train,anonymized_test,accuracy,precision,recall,f1_score,selected_features,feature_method,num_features
KNN,True,True,0.7932709515491387,0.8431565599519285,0.7932709515491387,0.7817624106846165,"[46, 76]",anova,2
KNN,True,False,0.8774001431740484,0.8914843089525321,0.8774001431740484,0.8762970386036032,"[46, 76]",anova,2
KNN,False,True,0.829418527880605,0.8832018338673356,0.829418527880605,0.8178126384883161,"[46, 76]",anova,2
KNN,False,False,0.9997300005999401,0.9997301091371223,0.9997300005999401,0.9997300005846134,"[46, 76]",anova,2
Decision Tree,True,True,0.7286102572431497,0.8133777691925429,0.7286102572431497,0.707744216900307,"[46, 76]",anova,2
Decision Tree,True,False,0.7807300239559064,0.8214607947003677,0.7807300239559064,0.7735551626430834,"[46, 76]",anova,2
Decision Tree,False,True,0.7929610348482438,0.8620732659655751,0.7929610348482438,0.7741491224067966,"[46, 76]",anova,2
Decision Tree,False,False,0.999620000999914,0.9996200405723069,0.999620000999914,0.999620000993254,"[46, 76]",anova,2
Random Forest,True,True,0.7625505687468226,0.8309255420054452,0.7625505687468226,0.7481432552636537,"[46, 76]",anova,2
Random Forest,True,False,0.7174694684488093,0.8041196519306221,0.7174694684488093,0.6866548708087089,"[46, 76]",anova,2
Random Forest,False,True,0.917779412989426,0.9344276338629666,0.917779412989426,0.9153297014989484,"[46, 76]",anova,2
Random Forest,False,False,0.999620000999914,0.9996200405723069,0.999620000999914,0.999620000993254,"[46, 76]",anova,2
GaussianNB,True,True,0.7776200933545905,0.81361371662167,0.7776200933545905,0.7710644349787268,"[46, 76]",anova,2
GaussianNB,True,False,0.6878318783187831,0.629264326085897,0.6878318783187831,0.6279147009268597,"[46, 76]",anova,2
GaussianNB,False,True,0.7490297810519954,0.6775614906471148,0.7490297810519954,0.6912468221787161,"[46, 76]",anova,2
GaussianNB,False,False,0.99083003159785,0.9910053409180666,0.99083003159785,0.9908289974393331,"[46, 76]",anova,2
Mutilayer Perceptron,True,True,0.7797700374555795,0.8170492168098392,0.7797700374555795,0.7731008092774946,"[46, 76]",anova,2
Mutilayer Perceptron,True,False,0.7775300630548755,0.8134249525459989,0.7775300630548755,0.7709751294654748,"[46, 76]",anova,2
Mutilayer Perceptron,False,True,0.8026509976505537,0.8513698233623499,0.8026509976505537,0.7911988480302727,"[46, 76]",anova,2
Mutilayer Perceptron,False,False,0.999570001099903,0.9995700256831711,0.999570001099903,0.999570001096015,"[46, 76]",anova,2
KNN,True,True,0.7415494284540253,0.8157365932531375,0.7415494284540253,0.7239680065188203,"[46, 47, 76]",anova,3
KNN,True,False,0.8517608071622806,0.876166706299497,0.8517608071622806,0.8473270695225247,"[46, 47, 76]",anova,3
KNN,False,True,0.7571798826526095,0.8010210603712536,0.7571798826526095,0.7474619729367781,"[46, 47, 76]",anova,3
KNN,False,False,0.999750000499945,0.9997501306297777,0.999750000499945,0.9997500004828453,"[46, 47, 76]",anova,3
Decision Tree,True,True,0.6269805555198409,0.748946523880635,0.6269805555198409,0.5549991860509809,"[46, 47, 76]",anova,3
Decision Tree,True,False,0.8409584569836218,0.8912833281667317,0.8409584569836218,0.8300318091491107,"[46, 47, 76]",anova,3
Decision Tree,False,True,0.7937709439493147,0.8424400002485869,0.7937709439493147,0.7825962525708173,"[46, 47, 76]",anova,3
Decision Tree,False,False,0.999750000499945,0.9997501306297777,0.999750000499945,0.9997500004828453,"[46, 47, 76]",anova,3
Random Forest,True,True,0.8431307220614054,0.8696082196506509,0.8431307220614054,0.8382983431544696,"[46, 47, 76]",anova,3
Random Forest,True,False,0.7838001287554724,0.8275472665665812,0.7838001287554724,0.7764480611529535,"[46, 47, 76]",anova,3
