model,anonymized_train,anonymized_test,accuracy,precision,recall,f1_score,selected_features,feature_method,num_features
KNN,True,True,0.8399907881601166,0.8653557795069916,0.8399907881601166,0.8351608042906665,"[76, 78]",chi2,2
KNN,True,False,0.9985399883998239,0.9985434597042603,0.9985399883998239,0.9985399846892,"[76, 78]",chi2,2
KNN,False,True,0.926929272292663,0.9453490145975244,0.926929272292663,0.924403228785962,"[76, 78]",chi2,2
KNN,False,False,0.9999099996999851,0.9999100194955401,0.9999099996999851,0.999909999698905,"[76, 78]",chi2,2
Decision Tree,True,True,0.9164814525687707,0.9283443013243847,0.9164814525687707,0.914250469741929,"[76, 78]",chi2,2
Decision Tree,True,False,0.8612105983662585,0.892446101748317,0.8612105983662585,0.8563165984576065,"[76, 78]",chi2,2
Decision Tree,False,True,0.9082013697679426,0.9204502784404482,0.9082013697679426,0.9059653182022819,"[76, 78]",chi2,2
Decision Tree,False,False,0.999760000299949,0.9997601190399857,0.999760000299949,0.9997600002852881,"[76, 78]",chi2,2
Random Forest,True,True,0.9280392830927768,0.9409013883915316,0.9280392830927768,0.9258301813972705,"[76, 78]",chi2,2
Random Forest,True,False,0.7607276099760458,0.6898060505248337,0.7607276099760458,0.7029979799664287,"[76, 78]",chi2,2
Random Forest,False,True,0.9348993516934629,0.9530981989882371,0.9348993516934629,0.9323392479223118,"[76, 78]",chi2,2
Random Forest,False,False,0.999760000299949,0.9997601190399857,0.999760000299949,0.9997600002852881,"[76, 78]",chi2,2
GaussianNB,True,True,0.7780200679549245,0.814214868789897,0.7780200679549245,0.7714408547548794,"[76, 78]",chi2,2
GaussianNB,True,False,0.7766900807545305,0.8120955893997569,0.7766900807545305,0.7701794708942119,"[76, 78]",chi2,2
GaussianNB,False,True,0.7778600924546475,0.8139976211587596,0.7778600924546475,0.7712922218704287,"[76, 78]",chi2,2
GaussianNB,False,False,0.7766900807545305,0.8120955893997569,0.7766900807545305,0.7701794708942119,"[76, 78]",chi2,2
