model,anonymized_train,anonymized_test,accuracy,precision,recall,f1_score,selected_features,feature_method,num_features
KNN,True,True,0.5000000000000001,0.250000000150003,0.5000000000000001,0.333333333422224,"[1, 2, 3, 8, 10, 19, 20, 22, 23, 24, 25, 41, 45, 46, 47, 68, 70, 75, 76, 77, 78]",extra_trees,3
KNN,True,False,0.7914399696585915,0.8391928940883754,0.7914399696585915,0.783898424809002,"[1, 2, 3, 8, 10, 18, 20, 22, 27, 41, 45, 46, 47, 54, 64, 68, 70, 75, 76, 77, 78]",extra_trees,3
KNN,False,True,0.5508305086050801,0.42963707164713166,0.5508305086050801,0.42827956744457946,"[1, 2, 3, 8, 18, 22, 25, 27, 41, 42, 45, 46, 47, 53, 54, 63, 64, 68, 70, 75, 76, 77, 78]",extra_trees,3
KNN,False,False,0.999900000499975,0.9999000088977134,0.999900000499975,0.9999000004994799,"[1, 2, 3, 18, 20, 22, 23, 24, 25, 41, 42, 45, 46, 47, 53, 54, 55, 68, 70, 75, 76, 77, 78]",extra_trees,3
Decision Tree,True,True,0.455599774393376,0.4645449487053836,0.455599774393376,0.4493658534363793,"[1, 2, 3, 12, 20, 22, 25, 27, 40, 41, 45, 46, 47, 54, 68, 70, 75, 76, 77, 78]",extra_trees,3
Decision Tree,True,False,0.7220205210391937,0.6635401701956357,0.7220205210391937,0.6573868971725353,"[1, 2, 3, 8, 10, 12, 20, 22, 23, 25, 27, 38, 41, 42, 45, 46, 47, 55, 68, 70, 75, 76, 77, 78]",extra_trees,3
Decision Tree,False,True,0.7658609213439588,0.7693896230024767,0.7658609213439588,0.764709868851117,"[1, 2, 3, 10, 22, 25, 42, 45, 46, 47, 53, 55, 63, 64, 68, 70, 75, 76, 77, 78]",extra_trees,3
Decision Tree,False,False,1.0,1.0,1.0,1.0,"[1, 2, 3, 8, 10, 20, 22, 23, 24, 25, 27, 45, 46, 47, 53, 64, 68, 70, 75, 76, 77, 78]",extra_trees,3
Random Forest,True,True,0.7842281245755999,0.8046461358338323,0.7842281245755999,0.7811963081628912,"[1, 2, 3, 8, 10, 12, 18, 19, 20, 22, 24, 25, 41, 45, 46, 47, 64, 67, 68, 70, 75, 76, 77, 78]",extra_trees,3
Random Forest,True,False,0.9089695450863431,0.9285431335609898,0.9089695450863431,0.9065266585671559,"[1, 2, 3, 20, 22, 23, 25, 42, 45, 46, 47, 54, 55, 68, 70, 75, 76, 77, 78]",extra_trees,3
Random Forest,False,True,0.5669801187122089,0.624891598791934,0.5669801187122089,0.484185345708176,"[1, 2, 3, 8, 18, 19, 20, 22, 25, 27, 45, 46, 47, 63, 68, 70, 75, 76, 77]",extra_trees,3
Random Forest,False,False,0.999990000199996,0.999990000799936,0.999990000199996,0.999990000199987,"[1, 2, 3, 8, 10, 19, 20, 22, 23, 24, 25, 27, 45, 46, 47, 53, 64, 67, 68, 70, 75, 76, 77, 78]",extra_trees,3
GaussianNB,True,True,0.5000000000000001,0.250000000150003,0.5000000000000001,0.333333333422224,"[1, 2, 3, 19, 20, 22, 23, 24, 25, 45, 46, 47, 67, 68, 70, 75, 76, 77, 78]",extra_trees,3
GaussianNB,True,False,0.8156004488586315,0.8783597929804622,0.8156004488586315,0.8007639021133045,"[0, 1, 2, 3, 8, 19, 20, 22, 23, 24, 25, 41, 45, 46, 47, 53, 55, 68, 70, 75, 76, 77, 78]",extra_trees,3
GaussianNB,False,True,0.552240522105227,0.598633908788233,0.552240522105227,0.4259016175753613,"[1, 2, 3, 8, 18, 19, 20, 22, 23, 24, 25, 27, 41, 45, 46, 47, 68, 70, 75, 76, 77, 78]",extra_trees,3
GaussianNB,False,False,0.999579998799928,0.9995800587615516,0.999579998799928,0.9995799987909285,"[1, 2, 3, 8, 18, 19, 20, 22, 23, 24, 25, 41, 45, 46, 47, 53, 54, 55, 64, 68, 70, 75, 76, 77, 78]",extra_trees,3
Mutilayer Perceptron,True,True,0.30544158594522886,0.20979799833353166,0.30544158594522886,0.2426536735419822,"[1, 2, 3, 20, 22, 23, 24, 25, 45, 46, 47, 64, 68, 70, 75, 76, 77, 78]",extra_trees,3
Mutilayer Perceptron,True,False,0.7939501504572855,0.8383719813300637,0.7939501504572855,0.7870855613117133,"[1, 2, 3, 8, 10, 12, 18, 19, 20, 22, 23, 25, 27, 42, 45, 46, 47, 53, 55, 64, 68, 70, 75, 76, 77, 78]",extra_trees,3
Mutilayer Perceptron,False,True,0.4287784739010167,0.48868389845572513,0.4287784739010167,0.39672610728508784,"[1, 2, 3, 10, 18, 19, 20, 22, 24, 25, 41, 43, 45, 46, 47, 55, 64, 68, 70, 75, 76, 77, 78]",extra_trees,3
