model,anonymized_train,anonymized_test,accuracy,precision,recall,f1_score,selected_features,feature_method,num_features
KNN,True,True,0.5000000000000001,0.250000000150003,0.5000000000000001,0.333333333422224,"[41, 67]",mutual_info,2
KNN,True,False,0.8333083333833278,0.749975001324894,0.8333083333833278,0.7777522223110798,"[41, 67]",mutual_info,2
KNN,False,True,0.6643017135157252,0.4993933411596197,0.6643017135157252,0.5544906444610238,"[41, 67]",mutual_info,2
KNN,False,False,0.999980000099995,0.9999800012998931,0.999980000099995,0.9999800000999679,"[41, 67]",mutual_info,2
Decision Tree,True,True,0.5000000000000001,0.250000000150003,0.5000000000000001,0.333333333422224,"[41, 67]",mutual_info,2
Decision Tree,True,False,0.8333283335833298,0.7499950009249381,0.8333283335833298,0.7777733336333214,"[41, 67]",mutual_info,2
Decision Tree,False,True,0.6666516665166652,0.49998500052495803,0.6666516665166652,0.5555399998888706,"[41, 67]",mutual_info,2
Decision Tree,False,False,0.999980000099995,0.9999800012998931,0.999980000099995,0.9999800000999679,"[41, 67]",mutual_info,2
Random Forest,True,True,0.6666716667166672,0.500005000125002,0.6666716667166672,0.5555611112111122,"[41, 67]",mutual_info,2
Random Forest,True,False,0.6666516665166652,0.49998500052495803,0.6666516665166652,0.5555399998888706,"[41, 67]",mutual_info,2
Random Forest,False,True,0.5000000000000001,0.250000000150003,0.5000000000000001,0.333333333422224,"[41, 67]",mutual_info,2
Random Forest,False,False,0.999980000099995,0.9999800012998931,0.999980000099995,0.9999800000999679,"[41, 67]",mutual_info,2
GaussianNB,True,True,0.8105395801663061,0.8636429049309037,0.8105395801663061,0.802566093244347,"[41, 67]",mutual_info,2
GaussianNB,True,False,0.7782596776588754,0.8467220555109204,0.7782596776588754,0.7663997113339978,"[41, 67]",mutual_info,2
GaussianNB,False,True,0.8152600548625034,0.8651019514473037,0.8152600548625034,0.8087239650811137,"[41, 67]",mutual_info,2
GaussianNB,False,False,0.8323897122693552,0.874813914798414,0.8323897122693552,0.8273246793864565,"[41, 67]",mutual_info,2
Mutilayer Perceptron,True,True,0.8259032590325903,0.7428803677449288,0.8259032590325903,0.7703441231941989,"[41, 67]",mutual_info,2
Mutilayer Perceptron,True,False,0.6630367392652147,0.4964465951877857,0.6630367392652147,0.5519252024598941,"[41, 67]",mutual_info,2
Mutilayer Perceptron,False,True,0.6607816087160692,0.49449386829677966,0.6607816087160692,0.5498138402887071,"[41, 67]",mutual_info,2
Mutilayer Perceptron,False,False,0.999650000099929,0.9996502165160525,0.999650000099929,0.9996500000547307,"[41, 67]",mutual_info,2
KNN,True,True,0.8757807146680094,0.9088924576820565,0.8757807146680094,0.8714011967689839,"[41, 67, 77]",mutual_info,3
KNN,True,False,0.49996999969999706,0.24999249939993473,0.49996999969999706,0.33331999902216,"[8, 41, 67]",mutual_info,3
KNN,False,True,0.6665916659166592,0.49992502871235756,0.6665916659166592,0.5554799992853545,"[41, 67, 77]",mutual_info,3
KNN,False,False,0.999980000099995,0.9999800012998931,0.999980000099995,0.9999800000999679,"[8, 41, 67]",mutual_info,3
Decision Tree,True,True,0.999679999499941,0.999680087050722,0.999679999499941,0.9996799994883402,"[41, 67, 77]",mutual_info,3
Decision Tree,True,False,0.9969600550988411,0.9970022147414958,0.9969600550988411,0.9969598722278629,"[41, 67, 77]",mutual_info,3
Decision Tree,False,True,0.999760000299949,0.9997601190399857,0.999760000299949,0.9997600002852881,"[41, 67, 77]",mutual_info,3
Decision Tree,False,False,1.0,1.0,1.0,1.0,"[41, 67, 77]",mutual_info,3
Random Forest,True,True,0.9309593122930689,0.9509799229632332,0.9309593122930689,0.9279017359529863,"[41, 67, 77]",mutual_info,3
Random Forest,True,False,0.8972313356660897,0.9253347201142441,0.8972313356660897,0.8924712262814894,"[41, 67, 77]",mutual_info,3
Random Forest,False,True,0.910479108091015,0.9416450405448297,0.910479108091015,0.9035684702872032,"[41, 67, 77]",mutual_info,3
Random Forest,False,False,0.999980000099995,0.9999800012998931,0.999980000099995,0.9999800000999679,"[41, 67, 77]",mutual_info,3
GaussianNB,True,True,0.9217197076872671,0.9327543097563389,0.9217197076872671,0.9211473016140942,"[41, 67, 77]",mutual_info,3
GaussianNB,True,False,0.6780806459291568,0.8054234346502641,0.6780806459291568,0.6353505076510654,"[41, 67, 77]",mutual_info,3
GaussianNB,False,True,0.8331583342832888,0.7498250981729827,0.8331583342832888,0.7776033343208967,"[41, 67, 77]",mutual_info,3
GaussianNB,False,False,0.931189958086657,0.9394098740733009,0.931189958086657,0.930864541380174,"[8, 67, 77]",mutual_info,3
Mutilayer Perceptron,True,True,0.999760000299949,0.9997601190399857,0.999760000299949,0.9997600002852881,"[41, 67, 77]",mutual_info,3
Mutilayer Perceptron,True,False,0.8421097224711973,0.8973823781077406,0.8421097224711973,0.8261236886846867,"[41, 67, 77]",mutual_info,3
Mutilayer Perceptron,False,True,0.6665666686666267,0.4999000621115868,0.6665666686666267,0.5554555576354068,"[41, 67, 77]",mutual_info,3
Mutilayer Perceptron,False,False,0.9997300005999401,0.9997301091371223,0.9997300005999401,0.9997300005846133,"[8, 41, 67]",mutual_info,3
KNN,True,True,0.491389960098677,0.4162934379194252,0.491389960098677,0.3297875846472294,"[41, 55, 67, 77]",mutual_info,4
KNN,True,False,0.9116004173781463,0.9299564423500485,0.9116004173781463,0.9100334233229393,"[8, 41, 67, 77]",mutual_info,4
KNN,False,True,0.6665816658166582,0.4999150478011909,0.6665816658166582,0.555471110305271,"[8, 41, 67, 77]",mutual_info,4
KNN,False,False,0.999049990799902,0.9990551525525989,0.999049990799902,0.9990499834825431,"[8, 41, 67, 77]",mutual_info,4
Decision Tree,True,True,0.9998500011999579,0.9998500713637969,0.9998500011999579,0.9998500011911293,"[8, 41, 67, 77]",mutual_info,4
Decision Tree,True,False,0.999760000299949,0.9997601190399857,0.999760000299949,0.9997600002852881,"[41, 55, 67, 77]",mutual_info,4
Decision Tree,False,True,0.9876600781967501,0.9880747984509584,0.9876600781967501,0.9876560390342605,"[8, 41, 67, 77]",mutual_info,4
Decision Tree,False,False,0.999989999899999,0.999990000499957,0.999989999899999,0.9999899998999809,"[8, 41, 67, 77]",mutual_info,4
Random Forest,True,True,0.975199754697493,0.9769420798119549,0.975199754697493,0.9751624679651489,"[8, 41, 67, 77]",mutual_info,4
Random Forest,True,False,0.997090053698881,0.997135083128443,0.997090053698881,0.9970898644679774,"[8, 41, 67, 77]",mutual_info,4
Random Forest,False,True,0.999760000299949,0.9997601190399857,0.999760000299949,0.9997600002852881,"[8, 41, 67, 77]",mutual_info,4
Random Forest,False,False,1.0,1.0,1.0,1.0,"[8, 41, 67, 77]",mutual_info,4
GaussianNB,True,True,0.5990330170896357,0.47890326033986946,0.5990330170896357,0.5208334000146763,"[8, 41, 67, 77]",mutual_info,4
GaussianNB,True,False,0.740401269135389,0.844514917384053,0.740401269135389,0.7020402662753287,"[8, 41, 67, 77]",mutual_info,4
GaussianNB,False,True,0.6665666686666267,0.4999000621115868,0.6665666686666267,0.5554555576354068,"[41, 55, 67, 77]",mutual_info,4
GaussianNB,False,False,0.9289999226865732,0.9377821403601124,0.9289999226865732,0.9286320164610689,"[8, 41, 67, 77]",mutual_info,4
Mutilayer Perceptron,True,True,0.6597089232427095,0.7915810177853887,0.6597089232427095,0.5919195271192509,"[8, 41, 67, 77]",mutual_info,4
Mutilayer Perceptron,True,False,0.8680111637619645,0.9054763733458392,0.8680111637619645,0.8616694249429028,"[10, 41, 67, 77]",mutual_info,4
Mutilayer Perceptron,False,True,0.8331583342832888,0.7498250981729827,0.8331583342832888,0.7776033343208967,"[8, 41, 67, 77]",mutual_info,4
Mutilayer Perceptron,False,False,0.999570001699897,0.9995700262863686,0.999570001699897,0.9995700016966028,"[8, 41, 67, 77]",mutual_info,4
KNN,True,True,0.6688466983667857,0.8336333661302692,0.6688466983667857,0.5607671187634974,"[8, 10, 41, 67, 77]",mutual_info,5
KNN,True,False,0.8960107585716165,0.9209785402132082,0.8960107585716165,0.8932345461976038,"[8, 10, 41, 67, 77]",mutual_info,5
